id_subject,fail_rate
II0322,10.71428571
IT0107,9.905660377
IT0263,18.71657754
DP0497,7.389162562
ID0205,25.56053812
ID0308,4.697986577
ID0310,12.41830065
DP0499,9.615384615
PID0201,6.896551724
PID0302,5.882352941
PID0403,0
II0106,39.5793499
IT0161,39.96598639
DP0396,6.007067138
DP0194,19.68810916
ID0102,38.81578947
II0209,34.03693931
IT0160,0
II0319,18.33910035
II0320,10.59322034
ID0307,3.571428571
ID0412,1.19047619
ID0414,2.752293578
ID0309,20.11173184
IT0210,14.83516484
DP0498,4.081632653
ID0262,3.797468354
NI0423,5.405405405
ID3419,7.692307692
LI0110,14.22594142
ID0101,41.83908046
ID3418,2.105263158
ID3471,0
PID0404,4.545454545
IT0427,1.754385965
TA0011,0
IT0208,15.32846715
ID0263,16.90140845
IT0317,2.127659574
ID0411,10.34482759
NI3431,0
IT0264,9.241706161
ID3416,10.12658228
IT0322,2.43902439
ID3415,4.651162791
ID0103,39.47368421
TA0030,20.58823529
LI1102,13.17567568
IT0425,34.24657534
TA0029,0
ID3424,1.333333333
LI1104,13.47305389
DP0295,5.211726384
ID0206,7.106598985
DP0193,11.92893401
TA0002,3.278688525
IT0106,11.11111111
II0215,26.71232877
ID0160,10.041841
ID3421,2.631578947
ID3470,0
ID3469,0
ID3474,8.333333333
ID3423,8.108108108
IT0103,18.33333333
ID0413,2.469135802
LI1103,12.02531646
LI0109,10.41009464
IL0204,9.523809524
II0423,0
ID3472,0
IT3472,4.255319149
AD0007,0
II0102,0
TA0009,0
IT0104,34.43037975
IT0423,0.869565217
AD0011,0
ID3420,1.666666667
ID0264,9.090909091
TA0019,4.761904762
AD0018,7.407407407
IT0105,7.142857143
ID3422,7.843137255
ID0161,13.08900524
PIT0302,0
AD0014,0
IT0101,39.93610224
DP0191,14.85943775
AD0003,5.882352941
LI1101,16.78321678
ID0204,5.042016807
ID0265,13.68421053
II0422,0
IL3422,4.395604396
ID3468,0
ID3466,1.01010101
IL0414,1.298701299
AD0001,0
TA0010,0
TA0006,9.677419355
IL0102,12.90322581
ID3417,7.894736842
AD0010,3.846153846
AD0013,4.87804878
AD0002,0
AD0016,9.090909091
TA0031,11.11111111
TA0017,6.25
TA0023,0
TA0005,9.090909091
TA0035,0
TA0008,4.630242449
TA0020,4.630242449
TA0032,4.630242449
Ta0034,4.630242449
