"recursada","tasa_rep_carga","quintil_asig","ceneval_analitico","ceneval_matematico","ceneval_lengua","ceneval_esp","prom_per_prev","tasa_rep_doc","tasa_aprob_per_prev","asigMuchas","año_encurso","complejidad_carga5","semestre_Otoño","carga_aprobada","total_recursando","situacion_Irregular"
0,5.64879421559449,4,1012,1156,1108,1108,8.4,38.3419689119171,1,0,6,3,0,0,0,0
0,4.85051220384086,2,1012,1156,1108,1108,8.2,3.37078651685393,0,1,6,3,1,1,0,1
0,17.6383935894791,5.2,1156,1156,1108,1036,8.4,17.2413793103448,0,0,2,1,0,1,0,0
0,13.4753699950855,5.1,1156,1156,1108,1036,8.2,33.9055793991416,1,0,2,4,1,1,0,0
0,12.8369709733977,3,1156,1156,1108,1036,9.16666666666667,7.01754385964912,1,1,3,2,0,1,0,0
0,12.7057154304141,5.2,1156,1156,1108,1036,8.75,22.5806451612903,1,0,3,1,1,1,0,0
0,17.3408843206252,5.1,1156,1156,1108,1036,9.5,33.029197080292,1,0,4,1,0,0,0,0
0,3.40162486753797,2,1156,1156,1108,1036,8,38.3419689119171,0.666666666666667,0,4,1,1,1,0,1
1,8.29485329124216,5.1,1156,1156,1108,1036,9.5,33.029197080292,1,1,5,3,0,1,1,1
0,6.00725747449571,1,1156,1156,1108,1036,8.42857142857143,38.3419689119171,1,1,5,3,1,0,0,0
0,13.8048897954558,4,1036,1132,1084,1060,8.4,16.3636363636364,0,0,2,1,0,1,0,0
0,30.0704053623488,5.2,1036,1132,1084,1060,9,20.5374280230326,1,0,2,5,1,1,0,0
0,15.3219577747121,2,1036,1132,1084,1060,8.75,22.5806451612903,1,0,3,1,0,1,0,0
0,12.8342367752755,4,1036,1132,1084,1060,8.66666666666667,44,1,0,3,2,1,1,0,0
0,7.57933467315268,4,1036,1132,1084,1060,8.8,38.3419689119171,1,0,5,3,0,0,0,0
0,6.80658260371515,1,1036,1132,1084,1060,7.4,38.3419689119171,1,1,5,3,1,0,0,1
0,11.7661502392041,4,1228,1204,1228,1180,8.4,8.69565217391305,0,0,2,4,0,1,0,0
0,13.4149950002471,3,1228,1204,1228,1180,8.33333333333333,5.55555555555556,1,0,2,1,1,1,0,0
0,16.9946564235298,5.2,1228,1204,1228,1180,9.8,39.6825396825397,1,1,3,1,0,1,0,0
0,16.7510369757133,5.2,1228,1204,1228,1180,9.14285714285714,48.7012987012987,1,0,3,1,1,1,0,0
0,17.9647702386288,3,1228,1204,1228,1180,9,3.37078651685393,1,0,4,2,0,0,0,0
0,10.0317854165972,3,1228,1204,1228,1180,8.16666666666667,0,0.666666666666667,0,4,2,1,1,0,1
