"matricula","carrera","periodo","numRepPrev","año","semestre","recursada","cantidad_asig","tasa_rep_carga","tasa_rep_asig","quintil_asig","asignatura","ceneval_global","ceneval_analitico","ceneval_matematico","ceneval_lengua","ceneval_esp","prom_per_prev","tasa_rep_doc_asig","tasa_rep_doc","generacion","tasa_aprob_per_prev","tasa_aprob_gral_prev","asigMuchas","cuartil_repEst","asigRep_totalAsig","año_encurso","complejidad_carga4","complejidad_carga","complejidad_carga5","semestre_Otoño","carga_aprobada","recursando","total_recursando","practicante","situacion","situacion_Condicionado","situacion_Irregular","situacion_Regular"
140300029,"Ingeniería en Datos e Inteligencia Organizacional",201603,0,2016,"Otoño",0,3,16.1675774448234,18.3391003460208,5.1,"Probabilidad y estadÃ­stica",1102,1084,1132,1156,1036,8,53.125,49.5049504950495,2014,1,1,0,1,0,3,4,5,1,1,1,0,0,0,"Regular",0,0,1
140300029,"Ingeniería en Datos e Inteligencia Organizacional",201701,0,2017,"Primavera",0,4,9.28336427193214,18.716577540107,5.1,"ElectrÃ³nica analÃ³gica",1102,1084,1132,1156,1036,7.66666666666667,32.0388349514563,33.029197080292,2014,1,1,0,1,0,4,4,5,1,0,1,0,0,0,"Regular",0,0,1
140300029,"Ingeniería en Datos e Inteligencia Organizacional",201703,0,2017,"Otoño",0,7,15.6568550681646,10.5932203389831,4,"Ecuaciones diferenciales",1102,1084,1132,1156,1036,7.75,42.8571428571429,20.5374280230326,2014,1,1,1,1,0,4,1,7,4,1,0,0,0,0,"Regular",0,0,1
140300029,"Ingeniería en Datos e Inteligencia Organizacional",201801,1,2018,"Primavera",0,7,14.981399513567,25.5605381165919,5.2,"GeometrÃ­a computacional",1102,1084,1132,1156,1036,7.57142857142857,31.7757009345794,20.5374280230326,2014,1,1,1,3,0.142857142857143,5,1,7,2,0,0,1,1,0,"Irregular",0,1,0
140300029,"Ingeniería en Datos e Inteligencia Organizacional",201803,2,2018,"Otoño",0,5,6.46513700065479,4.69798657718121,3,"AnÃ¡lisis de grandes volÃºmenes de datos",1102,1084,1132,1156,1036,7,0,0,2014,1,1,0,4,0.285714285714286,5,3,6,2,1,1,1,2,0,"Irregular",0,1,0
140300029,"Ingeniería en Datos e Inteligencia Organizacional",201901,0,2019,"Primavera",0,5,5.64879421559449,3.57142857142857,2,"IngenierÃ­a de software",1102,1084,1132,1156,1036,8.4,0,4,2014,1,1,0,1,0,6,3,6,3,0,1,0,0,0,"Regular",0,0,1
140300029,"Ingeniería en Datos e Inteligencia Organizacional",201903,0,2019,"Otoño",0,8,6.75816465880768,1.19047619047619,2,"MÃ©todos de desarrollo de software",1102,1084,1132,1156,1036,8.2,1.19047619047619,6.16438356164384,2014,1,1,1,1,0,6,3,6,3,1,0,0,0,0,"Regular",0,0,1
140300029,"Ingeniería en Datos e Inteligencia Organizacional",202001,1,2020,"Primavera",0,7,3.1807385412493,2.75229357798165,2,"Seguridad de datos",1064.110594,1056.311998,1038.155921,1068.489518,1087.139296,8.375,3.44827586206896,2.84552845528455,2014,0,0.875,1,3,0.125,7,3,6,3,0,1,0,0,0,"Irregular",0,1,0
140300029,"Ingeniería en Datos e Inteligencia Organizacional",202003,0,2020,"Otoño",1,1,20.1117318435754,20.1117318435754,5.1,"Aprendizaje estadÃ­stico",1064.110594,1056.311998,1038.155921,1068.489518,1087.139296,8.85714285714286,20,20.5374280230326,2014,1,0.888888888888889,0,1,0,7,4,5,1,1,1,1,1,0,"",0,0,0
140300032,"Ingeniería en Datos e Inteligencia Organizacional",201601,0,2016,"Primavera",0,3,6.11303344867359,0,1,"IntroducciÃ³n a las base de datos",1090,1156,1012,1084,1108,8.4,0,0,2014,0,0,0,1,0,3,4,5,1,0,1,0,0,0,"Regular",0,0,1
140300032,"Ingeniería en Datos e Inteligencia Organizacional",201603,0,2016,"Otoño",0,4,9.73407718682657,14.8351648351648,5.1,"ProgramaciÃ³n orientada a objetos",1090,1156,1012,1084,1108,8,22.7272727272727,33.9055793991416,2014,1,1,0,1,0,3,4,5,1,1,1,0,0,0,"Regular",0,0,1
