"tasa_rep_carga","quintil_asig","ceneval_analitico","ceneval_matematico","ceneval_lengua","ceneval_esp","prom_per_prev","tasa_rep_doc","tasa_aprob_per_prev","año_encurso","complejidad_carga5","total_recursando","recursada","asigMuchas","semestre_Otoño","carga_aprobada","situacion_Irregular"
0.741553616728846,0.714285714285714,0.3,0.142857142857143,0.25,0.35,0.585714285714286,0.220279720279721,0.428571428571429,0.2,0,0.4,0,0,0,1,0
0.504420155621959,1,0.75,0.80952380952381,0.85,0.8,0.9,0.516141889198884,1,0.4,0.25,0.2,1,1,0,0,1
0.769374695224573,0.714285714285714,0.5,0.476190476190476,0.55,0.85,0.84,0.103749814732474,0,0,1,0,0,0,1,0,0
0.624678668831251,0.976190476190476,0.65,0.380952380952381,0.45,0.75,0.84,0.10674347678753,0,0,1,0,0,1,1,0,0
0.228023977937036,0.476190476190476,0.3,0.333333333333333,0.45,0.35,0.828571428571429,0.0453759723422644,0.75,0.4,0.25,0,0,0,0,1,1
0.479005739123135,0.976190476190476,0.8,0.714285714285714,0.7,0.65,1,0.250447227191413,1,0.2,0,0,0,0,0,1,0
0.494787290563,1,0.55,0.761904761904762,0.6,0.8,0.9,0.648778117189669,1,0.8,0,0,0,0,0,1,0
0.115932571904988,0.714285714285714,0.65,0.761904761904762,0.65,0.65,0.866666666666667,0.0383051907442151,1,1,0.5,0,0,1,1,1,0
0.555865483905872,1,0.5,0.80952380952381,0.65,0.9,0.775,0.497737556561086,0.75,0.4,1,0,0,1,0,0,1
0.603211966271194,1,0.8,0.80952380952381,0.4,0.35,0.725,0.497737556561086,0.714285714285714,0.2,1,0.2,0,1,0,0,1
0.569236933530557,1,0.7,0.714285714285714,0.4,0.55,0.9,0.623827392120074,1,0.2,1,0,0,1,0,0,0
0.756910570765106,0.976190476190476,0.7,0.380952380952381,0.45,0.7,0.866666666666667,0.235576923076923,1,0.2,1,0.8,1,0,1,0,0
0.333462219620217,0.714285714285714,0.45,0.333333333333333,0.6,0.75,0.542857142857143,0.138449367088608,0.333333333333333,0.2,0,0.2,0,0,0,0,0
0.603689612840181,0.714285714285714,0.7,0.80952380952381,0.85,0.75,0.8,0.38213399503722,0.714285714285714,0.2,0.75,0,0,0,0,1,1
0.642078918860279,1,0.4,0.619047619047619,0.4,0.65,0.84,0.648778117189669,0,0,1,0,0,1,1,0,0
0.556835521415021,0.714285714285714,0.9,0.666666666666667,0.65,0.9,0.85,0.103749814732474,1,0.2,0.75,0,0,1,0,0,0
0.48315533161337,0.714285714285714,0.6,0.761904761904762,0.4,0.7,0.966666666666667,0.10708041958042,1,0.2,0,0,0,0,0,1,0
0.265256486167557,0.714285714285714,0.3,0.333333333333333,0.45,0.35,0.85,0.497737556561086,1,0.6,0.75,0.2,0,0,1,0,1
0.363199159831614,0.714285714285714,0.5,0.666666666666667,0.65,0.7,0.8,0.212550607287449,0.75,0.2,0.75,0.2,0,1,1,1,1
0.58615323160334,1,0.65,0.476190476190476,0.55,0.65,0.7625,0.534188034188034,0.571428571428571,0.2,0.75,0.4,1,1,0,0,1
0.613376307311741,1,0.85,0.761904761904762,0.7,1,0.84,0.444623806850085,0,0,1,0,0,1,1,0,0
0.254152605448424,0.714285714285714,0.55,0.380952380952381,0.45,0.7,0.571428571428571,0.462740384615384,0.5,0.2,0,0,0,0,0,1,0
0.0813025723834625,0.238095238095238,0.7,0.714285714285714,0.6,0.5,0.8,0.516141889198884,0.666666666666667,0.6,0,0,0,0,1,1,1
0.706167889095076,1,0.35,0.142857142857143,0.15,0.55,0.7,0.623827392120074,1,0.2,0,0.2,0,0,1,0,0
0.645802001950601,0.714285714285714,0.4,0.142857142857143,0.15,0.25,0.84,0.138449367088608,0,0,1,0,0,1,1,0,0
0.654064555190482,1,0.7,0.523809523809524,0.45,0.2,0.84,0.191295546558705,0,0,1,0,0,1,1,1,0
0.475754880591935,0.714285714285714,0.25,0.523809523809524,0.55,0.6,0.725,0.0593891402714932,0.666666666666667,0.4,0.25,0,0,0,0,1,1
0.517460606756948,1,0.65,0.380952380952381,0.45,0.75,0.728571428571429,0.497737556561086,0.714285714285714,0.2,0.75,0,0,0,0,0,1
0.111197867425358,0,0.8,0.904761904761905,0.7,0.95,0.925,0,1,0.6,0.5,0,0,0,0,1,0
0.664842579790621,0.976190476190476,0.65,0.761904761904762,0.65,0.6,0.84,0.21604938271605,0,0,1,0,0,1,1,1,0
0.461753437001458,0.976190476190476,0.7,0.714285714285714,0.45,0.65,0.4,0.376923076923077,0.166666666666667,0.2,0,0.6,1,0,0,0,0
0.602590891980649,0.714285714285714,0.55,0.666666666666667,0.5,0.65,0.84,0.103749814732474,0,0,1,0,0,1,1,1,0
0.543898138052087,1,0.7,0.238095238095238,0.55,0.75,0.833333333333333,0.155753337571519,0,0.2,0,0.4,1,0,1,0,0
0.624678668831251,0.976190476190476,0.6,0.714285714285714,0.65,0.85,0.84,0.224358974358975,0,0,1,0,0,1,1,0,0
0.519387364285216,1,0.45,0.523809523809524,0.45,0.55,0.185714285714286,0.444623806850085,0.142857142857143,0.2,0,0.6,1,0,1,0,0
0.221882607598378,0.976190476190476,0.55,0.666666666666667,0.7,0.5,0.766666666666667,0.444623806850085,1,0.6,0,0,0,0,0,1,0
0.558307285231425,0.976190476190476,0.45,0.333333333333333,0.3,0.5,0.84,0.274216524216525,0,0,1,0,0,0,1,0,0
0.243918774794076,0.476190476190476,0.75,0.666666666666667,0.4,0.65,0.828571428571429,0.126201923076923,0.666666666666667,0.2,0,0,0,0,1,1,1
0.581365846345433,0.976190476190476,0.75,0.523809523809524,0.4,0.95,0.833333333333333,0.23042273042273,1,0.2,1,0.8,1,0,1,1,0
0.414306377491123,1,0.65,0.19047619047619,0.7,0.75,0.757142857142857,0.497737556561086,0.833333333333333,0.2,0.75,0,0,1,0,0,1
0.666732393668919,1,0.75,0.19047619047619,0.65,0.7,0.766666666666667,0.238558909444986,0.666666666666667,0.2,0.75,0.6,1,0,1,1,1
0.650627699004415,1,0.8,0.714285714285714,0.7,0.9,0.84,0.86848635235732,0,0,1,0,0,1,1,0,0
0.288067586284979,0.714285714285714,0.6,0.761904761904762,0.4,0.7,0.9,0.322762033288349,1,0.4,0.25,0,0,1,0,1,0
0.454267836851774,0.976190476190476,0.45,0.666666666666667,0.6,0.55,0.666666666666667,0.0531376518218623,0.5,0.4,1,0.4,0,1,0,0,1
0.602590891980649,1,0.35,0.380952380952381,0.4,0.8,0.84,0.238558909444986,0,0,1,0,0,1,1,0,0
0.528377842163845,1,0.75,0.904761904761905,0.5,0.75,0.885714285714286,0.276465377233131,1,0.4,0.75,0,0,0,1,1,0
0.456437125367603,0.714285714285714,0.75,0.714285714285714,0.6,0.75,0.84,0.0997150997150997,0,0.2,0.75,0,0,1,0,1,0
0.320178737934297,0.976190476190476,0.75,0.952380952380952,0.7,0.8,0.825,0.103550295857988,1,0.6,0.25,0,0,1,0,0,0
0.645515775046343,0.976190476190476,0.55,0.666666666666667,0.65,0.8,0.84,0.310650887573965,0,0,1,0,0,1,1,0,0
0.468896394436476,0.714285714285714,0.55,0.380952380952381,0.45,0.7,0.666666666666667,0.329527243589744,0.5,0.4,0,0.4,0,0,1,0,1
0.388579989485262,0.976190476190476,0.3,0.238095238095238,0.3,0.65,0.333333333333333,0.235576923076923,0,0.2,0,0.6,1,0,1,0,0
0.768200339661251,1,0.75,0.523809523809524,0.65,0.65,0.84,0.115475006779354,0,0,1,0,0,0,1,0,0
0.280140538484937,0.976190476190476,0.5,0.428571428571429,0.05,0.2,0.766666666666667,0.249447038584419,0.5,0.4,0.25,0.6,1,0,1,0,1
